,title,name
456,Закон бутерброда,zakonbuterbroda
457,Двор 28/26,dvor2826
458,Perfetto,perfetto_minsk
459,Inclusive Barista,inclusive_barista
460,Hi5,hi5metropol
461,Tapas bar,tapasbar.by
462,Pinky Bandinsky,pinky_bandinsky
463,Osteria la Bruscetta,osteria_la_bruscetta_minsk
464,Васильки,restoran.vasilki
465,Лидо,restaurant_lido
466,TNT,tntrockclub
467,Ресторан 101,101rest.minsk
468,Pelican,pelican.piano.bar
469,Ristorante da Claudio,da_claudio_minsk
470,Хинкальня,hinkalnya_marksa
471,Cafe de Paris,cafedeparisminsk
472,Чумацький Шлях,chumaczki_shlyakh_minsk
473,BlackBerry,cafeblackberryby
474,Marconi,cafe_marconi
475,Michel,michelcafe.minsk
476,The Odi,odi.by
477,La Scala Trattoria Ignazio,lascalatrattoria
478,Кофевариум. кофе&эмоции,coffeevarium
479,Doner King,donerking.by
480,Robert Roose,robert.roose.by
481,KaraKum,karakum.by
482,Юджын Крабс,1r0xwzahjwufn
483,ФанЕжа,fan_ezha
484,Bar & Shop 0.75,barshop0.75
485,Коммунарка,kommunarka.by
486,Arborea,renaissanceminskhotel
487,Амели,amelie_minsk
488,Уха из петуха,yxa.iz.petyxa.by
489,KFC,kfcbyofficial
490,Перспектива,perspective.coffee
491,Кофе Саунд,coffeesoundby
492,Sen Hanoi,senhanoi
493,Элит-Кейтеринг,elite_catering.by
494,Home-bar MariVanna,homebarmarivanna
495,Hops,magazin_bar_hops
496,Gray House,_grayhouse
497,Булочки,bulochki.by
498,Buno,cafebuno
499,Суши Весла,sushivesla
500,Doner King,donerking.by
501,Пицца Domino's Pizza,dominosby
502,Шишка Lounge Restaurant,shishka.minsk
503,Bbj Burger & Bar,bbj.by
504,Peaky Blinders,pb.minsk
505,Билли Джойс,billy.joys
506,Cofix,cofix_belarus
507,Blackcups,blackcupsminsk
508,Garage food&coffee,cafegarageby
509,KFC,kfcbyofficial
510,Вестфалия,westfalia.restaurant
511,Took Coffee,took_coffee
